HIZSS014           07 36 22.6 -19 29 40  2.88 62  27 0.00 -16.7 22.0  8.91  8.38   7.92  537 -0.1 HIZSS012         0.0  0.84
NGC2403            07 36 51.4 +65 35 58 26.46 57 128 0.33 -19.2 24.2  9.86 10.71   9.26  262  0.2 DDO044           0.6  1.86
LV J0737+4724      07 37 28.5 +47 24 33  2.03 90  15 0.00 -13.4 24.5  7.61  7.71   7.76  451 -1.8 NGC2344         -1.5
DDO046             07 41 25.8 +40 06 45  3.71 22  86 0.02 -15.0 24.1  8.11  9.50   8.22  373 -1.4 NGC2683         -1.1 -1.28
DDO047             07 41 55.0 +16 48 02 11.22 32  44 0.01 -16.1 25.5  8.73  9.40   8.81  160  1.0 KK65             1.0 -0.77
KK65               07 42 31.2 +16 33 40  2.64 66  12 0.00 -14.3 24.1  8.11  7.66   7.70  170  1.6 DDO047           1.6 -0.40
HIZSS021           07 46 16.5 -28 28 11  1.76 57  44 0.03 -14.3 23.3  7.96  8.60   7.66  219 -1.8 NGC5128         -1.2
KKH40              07 46 56.4 +51 17 46  1.40 50   8 0.00 -12.9 24.2  7.41  7.00   7.48  510 -0.2 CGCG 262-028    -0.2 -1.35
CGCG 262-028       07 47 32.1 +51 11 29  2.15 70     0.00 -14.8 23.2  7.90               518 -0.7 KKH40           -0.6 -1.85
AGC174605          07 50 21.7 +07 47 40  0.60 22   7 0.00 -11.0 24.2  6.65  6.49   6.75  196 -2.1 NGC2683         -1.6 -2.52
UGC04115           07 57 01.8 +14 23 27  4.29 66  37 0.00 -14.3 25.2  8.24  8.84   8.34  215 -1.7 DDO047          -1.2 -0.43
HIPASS J0801-21    08 01 25.4 -21 59 51  1.06 67  26 0.00 -12.8 23.7  7.36  7.92   7.54  463 -1.5 HIZSS012        -1.1
NGC2500            08 01 53.2 +50 44 14 12.31 33  81 0.06 -18.5 23.3  9.80  9.97   8.95  572 -0.8 NGC2541         -0.4  0.55
LV J0812+4836      08 12 39.5 +48 36 45  1.88 90     0.00 -13.6 24.1  7.69               565  1.3 NGC2541          1.3  1.07
NGC2537            08 13 14.7 +45 59 26  9.54 29  91 0.05 -18.4 22.8  9.84  9.96   8.74  479  1.9 IC2233           1.9  0.65
IC2233             08 13 58.9 +45 44 32 16.69 90  78 0.73 -18.3 24.1  9.22 10.07   9.12  586  2.6 NGC2537          2.6  0.87
NGC2541            08 14 40.1 +49 03 42 26.11 59  99 0.28 -18.7 24.7  9.48 10.47   9.52  605  0.3 NGC2552          0.5  1.00
HolmII             08 19 04.0 +70 42 51  9.00 34  49 0.02 -16.7 24.4  9.18  9.40   8.61  311  0.7 MESSIER081       1.0  1.89
NGC2552            08 19 20.5 +50 00 35 13.83 43  83 0.11 -18.1 23.9  9.51 10.05   8.88  574  0.3 NGC2541          0.3  1.00
ESO006-001         08 19 23.3 -85 08 44  2.55 27     0.00 -14.8 23.5  7.81       < 6.70  489 -2.0 CIRCINUS        -1.4
ESO495-008         08 21 00.7 -23 46 53  3.68 90  43 0.06 -15.7 23.5  8.52  8.90   8.26  512 -0.2 NGC2559          0.0 -0.07
KDG052             08 23 56.0 +71 01 46  1.32 26   6 0.00 -11.5 25.4  6.96  6.71   7.06  271  0.8 MESSIER081       1.2  1.90
KUG 0821+321       08 25 05.0 +32 01 03  1.65 59     0.00 -13.0 24.5  7.43               595 -0.3 NGC2683         -0.2  1.35
CGMW2-3473         08 25 12.9 -28 08 25  2.04 64  30 0.00 -15.2 22.7  8.31  8.32   7.78  549 -0.9 ESO495-021      -0.8  0.31
DDO052             08 28 28.5 +41 51 24  5.23 72  38 0.00 -15.0 25.0  8.39  8.94   8.32  401 -1.2 NGC2841         -0.9 -0.30
DDO053             08 34 06.5 +66 10 45  2.13 33  16 0.00 -13.4 24.6  7.31  7.78   7.62  150  0.8 MESSIER081       1.0  1.90
ESO495-021         08 36 15.2 -26 24 34  5.31 45  72 0.08 -17.6 22.3  9.53  9.51   8.25  581 -1.2 NGC2784         -0.9 -0.62
UGC04483           08 37 03.0 +69 46 31  1.24 64  12 0.00 -12.7 24.1  7.00  7.35   7.52  304  0.6 MESSIER081       1.0  1.89
ESO496-010         08 49 06.0 -26 19 12  2.56 56  31 0.00 -15.1 23.3  8.35  8.47   7.68  524 -0.3 ESO495-021      -0.2  0.30
AGC182595          08 51 12.1 +27 52 48  0.66 64   3 0.00 -11.9 23.5  7.02  5.77   6.66  323 -1.1 NGC2683         -0.9
UMa II             08 51 30.0 +63 07 48  0.25 80     0.00  -3.1 30.2  4.18       < 2.80   -3  3.9 Milky Way        3.9  1.74
NGC2683            08 52 40.9 +33 25 02 29.52 90 202 1.12 -20.4 23.3 10.60 11.14   8.94  365  0.0 KK70             0.2 -1.30
KK69               08 52 50.7 +33 47 52  3.15 46   3 0.00 -12.2 26.6  7.12  6.65   7.51  418  3.3 NGC2683          3.3  1.35
KK70               08 55 22.0 +33 33 33  1.17 17     0.00 -11.9 24.8  7.70       < 6.83       2.9 NGC2683          2.9  1.35
UGC04704           08 59 00.3 +39 12 36 18.17 90  57 0.40 -16.4 26.2  8.93  9.84   8.99  584 -2.3 NGC2964         -1.8
LSBC D564-08       09 02 54.0 +20 04 31  1.85 51  26 0.00 -11.9 25.7  7.02  8.16   7.52  366 -0.3 NGC2903         -0.2 -1.94
ESO497-004         09 03 03.1 -23 48 30  7.28 79  42 0.05 -16.1 24.5  8.79  9.18   8.69  519 -0.9 NGC2613         -0.7
HIPASS J0905-36    09 06 00.0 -36 03 36  1.69 47  42 0.01 -13.9 23.5  7.82  8.53   7.96  579 -1.3 ESO314-002      -0.9 -1.49
UGC04787           09 07 34.9 +33 16 36 14.08 76  58 0.24 -17.3 24.8  9.26  9.74   8.83  504 -1.9 PGC2020885      -1.5 -0.90
KKH46              09 08 36.6 +05 17 32  1.02 34   7 0.00 -11.9 24.5  7.01  6.78   7.28  409 -1.9 NGC2903         -1.4
LSBC D634-03       09 08 53.5 +14 34 55  1.34 32  37 0.00 -12.6 24.4  7.28  8.32   6.70  189 -0.7 NGC2903         -0.7
KK71               09 09 10.9 -23 22 04  1.41 48     0.00 -13.0 24.0  8.16       < 7.03       2.0 NGC2784          2.1  1.65
DDO056             09 09 46.6 -23 00 33  4.23 52  44 0.02 -15.1 24.4  8.28  8.97   7.86  438  1.8 NGC2784          1.8  1.65
KK72               09 11 42.3 -23 58 56  1.60 41     0.00 -12.8 24.6  8.05       < 7.03       3.9 NGC2784          3.9  1.65
NGC2784 dw01       09 12 18.5 -24 12 40  3.29 33     0.00 -13.6 25.3  8.38       < 7.03       5.0 NGC2784          5.1  1.65
NGC2784            09 12 19.4 -24 10 18 19.27 90     0.00 -19.7 23.1 10.80               398  3.1 KK73             3.2  0.99
KK73               09 12 29.3 -24 14 28  2.22 68     0.00 -14.5 23.6  9.08       < 7.03       4.8 NGC2784          4.8  1.64
UGCA153            09 13 12.1 -19 24 31 15.17 54  59 0.10 -16.8 25.4  9.07  9.79   9.06  489 -1.7 NGC2613         -1.4
LV J0913+1937      09 13 39.0 +19 37 08  0.70 79   3 0.00 -11.0 24.5  6.66  5.98   6.47  324 -1.7 MESSIER081      -1.3
AGC198507          09 15 25.8 +25 25 10  1.29 47  19 0.00 -13.2 23.6  7.54  7.71   7.88  411 -2.5 NGC3032         -1.9
UGC04879           09 16 02.2 +52 50 24  1.27 66   3 0.00 -11.9 24.9  6.98  6.05   5.98   33 -0.7 MESSIER031      -0.3 -2.32
HIPASS J0916-23b   09 16 58.0 -23 16 47  2.11 90  15 0.00 -14.7 23.2  8.13  7.76   7.51  550  1.5 NGC2835          1.6  1.65
NGC2835            09 17 52.9 -22 21 19 28.90 49 113 0.20 -19.7 23.9 10.19 10.63   9.34  600  0.5 NGC2784          0.5  1.56
NGC2787            09 19 18.6 +69 12 12  7.99 55 203 0.36 -18.5 22.4 10.19 10.58   8.43  842 -1.7 NGC2841         -1.1 -0.55
LSBC D565-06       09 19 29.4 +21 36 12  1.64 34   4 0.00 -12.7 24.7  7.32  6.58   6.74  386  0.7 NGC2903          0.7  1.56
UGC04932           09 19 34.1 +51 06 33 10.82 73  50 0.13 -16.6 24.9  8.69  9.50   8.72  597 -1.7 NGC2950         -1.3
DDO062             09 21 27.5 -22 30 02 13.67 79  55 0.23 -17.1 24.9  9.18  9.68   9.33  560 -1.5 NGC2613         -1.1
AGC198508          09 22 57.0 +24 56 48  1.16 65   9 0.00 -12.5 24.2  7.23  7.01   6.97  424 -0.8 NGC2903         -0.7
ESO565-003         09 23 09.9 -20 10 03  1.65 55  12 0.00 -14.1 23.3  7.90  7.41   7.32  549 -1.3 NGC2784         -1.0 -1.84
MCG +09-16-010     09 23 17.0 +51 58 23  1.98 39     0.00 -13.2 24.6  7.63               537 -1.1 NGC2841         -0.8 -1.98
UGC04998           09 25 12.1 +68 22 59  4.41 60  45 0.03 -14.9 24.7  8.71  9.01   7.04  770 -0.4 NGC2787         -0.4  0.94
LV J0926+3343      09 26 09.4 +33 43 04  4.69 79  20 0.00 -13.8 25.9  7.85  8.33   8.37  492 -1.5 NGC3003         -1.1 -0.90
NGC2915            09 26 11.5 -76 37 35  2.77 69  71 0.18 -16.1 22.5  8.63  9.21   8.54  191 -1.1 CIRCINUS        -0.7 -2.23
[CKT2009]d0926+70  09 26 27.9 +70 30 24  0.56 47     0.00 -10.0 25.1  6.24       < 5.64       1.3 MESSIER081       1.5  1.87
UGC05047           09 28 49.6 +51 33 38  8.93 76  47 0.11 -15.6 25.4  8.71  9.35   8.12  552 -1.5 NGC2950         -1.1
KDG056             09 30 12.9 +19 59 30  1.81 41   4 0.00 -12.9 24.7  7.42  6.57   7.17  441  1.7 NGC2903          1.7  1.56
NGC2903-HI-1       09 30 39.9 +21 43 25  0.71 47   3 0.00 -11.7 23.9  6.92  5.99   6.42  470  3.3 NGC2903          3.3  1.56
NGC2903            09 32 09.6 +21 30 02 32.45 64 189 0.55 -20.9 23.0 10.82 11.13   9.44  443  1.7 UGC05086         1.7 -0.80
ESO373-007         09 32 45.4 -33 14 44  3.44 68  19 0.00 -13.8 25.2  7.76  8.16   7.69  556 -1.2 NGC2784         -0.7 -1.43
UGC05086           09 32 48.9 +21 27 54  2.63 31     0.00 -13.5 24.9  8.36               378  4.1 NGC2903          4.1  1.56
[CKT2009]d0934+70  09 34 03.7 +70 12 57  0.87 37     0.00  -9.6 26.4  6.80                    2.5 MESSIER081       2.6  1.90
CGCG 035-007       09 34 44.9 +06 25 32  4.14 59  45 0.03 -15.6 23.8  8.48  8.99   8.17  366 -1.6 NGC3169         -1.1
LeoT               09 34 53.4 +17 03 05  0.26 51   3 0.00  -6.7 26.6  4.94  5.49   5.63  -97  0.7 Milky Way        0.8  1.72
LV J0935-1348      09 35 21.6 -13 48 52  0.91 47     0.00 -12.9 23.2  7.42       < 7.10  533 -1.3 NGC3115         -1.0 -1.35
[CKT2009]d0939+71  09 39 15.9 +71 18 42  0.38 35     0.00  -8.4 25.8  5.60                    2.3 MESSIER081       2.5  1.90
LV J0939-2507      09 39 35.0 -25 07 35  1.17 65  26 0.00 -13.7 23.0  7.73  7.97   6.99  449 -1.9 NGC3621         -1.3 -2.04
KISSB023           09 40 12.7 +29 35 29  4.67 90  33 0.00 -15.2 24.4  8.35  8.78   8.28  474 -1.0 NGC3032         -0.5  0.38
KUG 0937+480       09 40 19.6 +47 46 38  1.90 90     0.00 -12.6 25.2  7.27               575 -0.8 NGC2841         -0.6 -1.47
KDG058             09 40 27.0 +00 02 33  2.01 44     0.00 -13.1 24.8  7.47                   -0.7 NGC3115         -0.6 -2.43
HolmI              09 40 32.3 +71 11 11  5.29 40  12 0.00 -14.5 25.4  8.01  7.95   8.01  291  1.7 MESSIER081       1.8  1.87
UGC05186           09 42 59.8 +33 15 52  3.18 90  12 0.00 -13.4 25.4  7.61  7.70   7.38  496 -1.0 NGC2683         -0.6
LV J0944-2254      09 44 20.1 -22 54 58  0.59 46     0.00 -12.4 22.8  7.22       < 6.94  442 -1.6 LV J0939-2507   -1.1 -1.53
[CKT2009]d0944+69  09 44 22.5 +69 12 40  0.26 10     0.00  -7.4 26.0  5.92                    1.3 MESSIER081       1.5  1.87
[CKT2009]d0944+71  09 44 34.4 +71 28 57  0.89 60     0.00 -11.1 25.0  7.39       < 5.49       1.8 MESSIER082       2.0  1.90
IC0559             09 44 43.9 +09 36 55  3.66 48  39 0.00 -15.0 24.1  8.25  8.81   8.00  370 -1.1 NGC2903         -0.7
F8D1               09 44 50.0 +67 28 32  2.70 29     0.00 -12.6 25.9  7.99       < 6.20    8  2.2 MESSIER081       2.3  1.90
UGC05209           09 45 04.2 +32 14 18  1.61 18  32 0.00 -13.1 24.2  7.49  8.29   7.15  479 -1.1 NGC2683         -0.8 -0.84
FM1                09 45 10.0 +68 45 54  0.96 33     0.00 -10.5 25.8  7.14       < 6.12       2.1 MESSIER082       2.3  1.90
RKK1610            09 45 24.8 -48 08 29  6.25 54  43 0.02 -16.1 24.2  8.68  9.12   8.67  566 -2.3 NGC2997         -1.7
NGC2976            09 47 15.6 +67 54 49  6.17 64  44 0.04 -17.1 23.2  9.42  9.15   8.03  142  2.9 MESSIER081       3.0  1.89
AGC191803          09 48 05.9 +07 07 45  3.12 63  26 0.00 -14.5 24.3  8.04  8.39   7.97  352 -1.1 NGC3169         -0.6  0.06
KK77               09 50 10.0 +67 30 24  2.89 52     0.00 -12.0 26.6  7.76       < 6.14       2.2 MESSIER081       2.5  1.90
KK78               09 50 19.6 +31 27 24  0.84 62   3 0.00 -11.7 24.3  6.92  5.90   7.35  479  2.8 DDO064           2.8 -0.80
DDO064             09 50 22.4 +31 29 15  4.45 90  37 0.00 -14.9 24.7  8.04  8.84   8.24  461  1.6 KK78             1.6 -0.99
UGC05288           09 51 17.2 +07 49 38  2.92 60  47 0.04 -14.8 23.9  8.39  8.87   8.28  378 -1.5 NGC2903         -1.1
NGC3037            09 51 24.0 -27 00 40  3.28 30  79 0.05 -16.3 22.6  8.69  9.38   8.31  591 -1.1 ESO499-037      -0.7
BK3N               09 53 48.5 +68 58 09  0.40 41   4 0.00  -9.6 24.7  6.09  5.82   7.26  101  1.2 MESSIER081       1.4  1.87
LV J0954+3620      09 54 50.6 +36 20 02  1.51 55  15 0.00 -13.1 24.2  7.47  7.60   7.20  470 -1.7 NGC2964         -1.3
KKSG15             09 55 10.5 -06 16 12  3.56 90  23 0.00 -15.0 24.1  8.24  8.33   7.77  554  0.9 NGC3115          0.9  1.72
[CKT2009]d0955+70  09 55 13.6 +70 24 29  0.48 36     0.00  -9.1 25.6  6.60                    1.5 MESSIER081       1.7  1.87
MESSIER081         09 55 33.5 +69 04 00 31.35 62 226 0.55 -20.9 22.9 10.93 11.27   9.44  104  2.5 MESSIER082       2.6  1.50
MESSIER082         09 55 53.9 +69 40 57 13.16 69  69 0.26 -19.6 22.3 10.57  9.86   8.95  328  2.8 MESSIER081       2.8  1.76
LV J0956-0929      09 56 37.6 -09 29 11  1.48 49     0.00 -13.0 24.2  7.44       < 6.80  378 -2.0 NGC3115         -1.4 -2.18
DDO068             09 56 45.7 +28 49 30  5.56 90  32 0.00 -15.3 24.8  8.17  8.83   8.73  429 -0.9 NGC2903         -0.7 -1.92
KDG061             09 57 02.7 +68 35 30  1.55 64     0.00 -12.9 24.4  8.09               360  4.0 MESSIER081       4.0  1.89
ClumpI             09 57 21.2 +68 42 55  0.20 50     0.00  -8.3 24.5  5.57               -25  4.2 MESSIER081       4.3  1.90
A0952+69           09 57 29.0 +69 16 20  2.17 69  21 0.00 -11.5 26.5  6.86  8.05   7.00  242  2.0 NGC3077          2.2  1.87
HolmIX             09 57 32.4 +69 02 35  2.96 41  31 0.00 -13.6 25.1  7.70  8.53   8.40  192  5.1 MESSIER081       5.1  1.90
[CKT2009]d0958+66  09 58 48.5 +66 50 59  1.06 64   3 0.00 -12.3 24.1  7.17  5.98   5.92  221  1.0 MESSIER081       1.3  1.87
LeoA               09 59 26.4 +30 44 47  1.35 61   3 0.00 -11.7 25.3  6.93  6.11   7.04  -40 -0.1 Milky Way        0.1  1.35
[CKT2009]d0959+68  09 59 33.1 +68 39 25  0.88 52     0.00 -10.1 25.9  6.29               -46  4.0 MESSIER081       4.0  1.90
KKSG16             09 59 47.5 -09 20 36  2.67 48     0.00 -12.2 26.2  7.85       < 7.03       1.3 NGC3115          1.3  1.72
SexB               10 00 00.1 +05 19 56  2.41 53  18 0.00 -14.0 24.3  7.78  7.95   7.66  110 -0.8 Milky Way       -0.5 -0.63
KKH57              10 00 16.0 +63 11 06  0.70 41     0.00 -10.2 25.4  7.02       < 5.52       0.9 MESSIER081       1.1  1.87
LV J1000+5022      10 00 25.5 +50 22 45  1.34 46     0.00 -12.5 24.5  7.24               582 -0.9 NGC2841         -0.6 -1.17
LV J1000+3032      10 00 36.5 +30 32 10  0.58 51   3 0.00 -11.3 23.9  6.76  5.85   6.33  436 -0.6 UGC05427        -0.3 -0.80
ClumpIII           10 00 40.4 +68 39 37  0.11 20     0.00  -8.3 23.3  5.57                19  3.9 MESSIER081       3.9  1.90
MCG -01-26-009     10 01 33.6 -06 31 30  3.24 44  21 0.00 -14.0 24.9  7.85  8.21   7.71  510  1.8 NGC3115          1.8  1.72
KKSG17             10 01 38.4 -08 14 56  4.65 90  20 0.00 -14.8 24.9  8.17  8.35   7.72  203  2.3 NGC3115          2.3  1.72
UGCA193            10 02 36.2 -06 00 43 11.23 90  53 0.40 -15.8 25.7  8.50  9.57   8.55  427  1.5 NGC3115          1.5  1.71
NGC3109            10 03 07.2 -26 09 36  7.66 83  51 0.22 -15.7 25.0  8.57  9.37   8.37  110  0.2 Antlia           0.2 -1.28
NGC3077            10 03 21.0 +68 44 02  7.58 38  49 0.02 -17.6 23.1  9.56  9.33   8.79  159  3.2 GARLAND          3.3  1.86
GARLAND            10 03 42.0 +68 41 36  4.61 62     0.00 -11.4 28.2  6.81       < 7.54  183  6.0 NGC3077          6.0  1.87
ESO499-038         10 03 50.2 -26 36 46  3.86 67  36 0.00 -15.5 23.7  8.47  8.77   8.73  591 -1.8 NGC3585         -1.4
NGC3104            10 03 57.4 +40 45 25 16.35 57  53 0.08 -17.2 25.2  9.23  9.73   9.04  594 -2.0 NGC3079         -1.5 -2.03
Antlia             10 04 04.0 -27 19 55  0.81 47   3 0.00  -9.8 26.1  6.47  6.05   5.92   66  2.3 NGC3109          2.3 -0.59
BK5N               10 04 40.3 +68 15 20  0.93 52     0.00 -10.6 25.6  7.20                    2.6 NGC3077          2.8  1.87
UGC05427           10 04 41.0 +29 21 59  2.87 49  41 0.01 -14.5 24.1  8.14  8.75   7.47  427 -1.2 NGC3344         -0.7 -1.06
KDG063             10 05 07.3 +66 33 18  2.18 34   4 0.00 -12.1 25.9  7.80  6.70   6.91    0  2.0 MESSIER081       2.2  1.90
NGC3115            10 05 14.0 -07 43 07 24.04 90 107 0.51 -20.8 22.5 10.95 10.50   8.75  439  2.3 KDG065           2.6  0.21
UGC05423           10 05 30.6 +70 21 52  2.88 55  21 0.00 -15.6 23.0  8.41  8.18   7.84  496 -1.2 NGC2787         -0.8 -0.48
KDG065             10 05 34.4 -07 44 57  3.01 59     0.00 -13.6 25.1  8.39               479  4.9 NGC3115          4.9  1.72
KKSG18             10 05 41.6 -07 58 53  4.45 41     0.00 -16.6 23.0  9.27               456  3.9 NGC3115          3.9  1.71
[CKT2009]d1006+67  10 06 46.2 +67 12 04  0.39 17     0.00  -8.6 25.7  6.37                    1.6 MESSIER081       1.9  1.87
KDG064             10 07 01.9 +67 49 39  2.19 90     0.00 -12.6 25.5  7.98               121  2.7 MESSIER081       2.7  1.87
Segue 1            10 07 03.2 +16 04 25  0.05 90     0.00  -0.7 29.0  3.24       < 1.12   67  4.3 Milky Way        4.3  1.74
UGC05456           10 07 19.7 +10 21 44  2.67 72  28 0.00 -15.1 23.4  8.16  8.39   7.71  360 -1.9 NGC2903         -1.3
KKH58              10 07 22.7 +38 58 11  6.63 62  41 0.01 -15.8 24.6  8.67  9.11   8.47  569 -1.6 PGC2125269      -1.2 -0.62
IKN                10 08 05.9 +68 23 57  3.15 39     0.00 -11.6 27.2  7.60       < 6.20   -1  2.5 MESSIER081       2.6  1.87
LeoI               10 08 26.9 +12 18 29  0.73 42     0.00 -11.0 24.7  7.34       < 3.18  125  1.4 Milky Way        1.4  1.74
[CKT2009]d1009+70  10 09 34.9 +70 32 55  2.15 35     0.00 -12.4 25.6  7.90                   -1.0 UGC05423        -0.7 -0.77
SexA               10 11 00.8 -04 41 34  2.34 38  30 0.00 -13.9 24.2  7.49  8.40   7.82   94 -0.8 Milky Way       -0.4 -0.61
UGC05497           10 12 48.4 +64 06 27  0.96 48   3 0.00 -12.3 23.9  7.18  6.11   6.02  267  1.4 MESSIER081       1.5  1.87
SexDSph            10 13 03.0 -01 36 52  0.83 64     0.00  -8.7 27.2  6.42       < 2.30    9  2.7 Milky Way        2.7  1.74
[CKT2009]d1014+68  10 14 55.8 +68 45 27  0.28 29     0.00  -8.3 25.2  6.27       < 5.84       0.0 MESSIER081       0.2  1.73
[CKT2009]d1015+69  10 15 06.9 +69 02 15  0.31 13     0.00  -7.8 26.0  6.06                    1.3 IC2574           1.5  1.88
KUG 1013+414       10 16 15.6 +41 09 59  3.58 68     0.00 -14.9 24.2  8.32               513  2.7 NGC3184          2.7  1.26
NGC3184            10 18 17.0 +41 25 28 24.27 22 149 0.05 -20.0 23.3 10.52 10.80   9.28  588  0.6 LV J1018+4109    0.8 -0.81
LV J1018+4109      10 18 22.2 +41 09 57  1.24 34     0.00 -11.9 24.9  7.71                    3.4 NGC3184          3.4  1.27
HIJASS J1021+6842  10 21 00.2 +68 42 00                                            7.51  187  2.3 MESSIER081       2.4  1.87
HS117              10 21 25.2 +71 06 58  1.90 62   3 0.00 -11.2 26.5  6.72  6.25   5.01  116  1.2 MESSIER081       1.5  1.88
LV J1021+0054      10 21 38.9 +00 54 00  0.86 49     0.00 -11.9 24.1  7.01       < 7.03  495 -1.5 NGC3115         -1.1 -0.97
LeoP               10 21 45.1 +18 05 17  0.32 68   3 0.00  -9.4 24.4  6.02  5.43   5.85  135 -1.3 Milky Way       -0.8 -1.29
AGC731448          10 23 45.0 +27 06 39  1.90 56  18 0.00 -14.2 23.5  7.92  7.85   7.61  460 -1.3 NGC3227         -1.0
KKSG19             10 24 28.3 -12 25 57  1.09 34  15 0.00 -12.1 24.5  7.07  7.48   7.20  373 -1.8 NGC5128         -1.2 -1.82
NGC3239            10 25 04.9 +17 09 49 11.64 53  87 0.19 -18.1 23.6  9.52 10.01   8.89  623 -1.1 NGC2903         -0.7 -0.92
DDO078             10 26 27.9 +67 39 24  2.23 22     0.00 -11.5 26.6  7.54               191  1.9 MESSIER081       2.0  1.87
UGC05672           10 28 20.9 +22 34 17  9.95 76  37 0.00 -15.7 25.6  8.81  9.19   8.31  428 -1.1 NGC3379         -0.6 -1.34
IC2574             10 28 22.4 +68 24 58 15.39 67  51 0.11 -17.5 24.8  9.35  9.66   9.06  183  1.0 MESSIER081       1.2  1.88
LV J1028+4240      10 28 33.0 +42 40 08  1.05 51     0.00 -12.0 24.4  7.06               551 -1.3 NGC4258         -0.9
[CKT2009]d1028+70  10 28 39.7 +70 14 01  0.85 45   4 0.00 -12.0 24.0  7.04  6.10   6.16   35  2.0 DDO082           2.1  1.88
AGC749315          10 29 06.4 +26 54 38  0.70 34  17 0.00 -12.7 22.9  7.32  7.36   7.57  564 -1.8 NGC3504         -1.2
DDO082             10 30 35.0 +70 37 10  4.02 63     0.00 -14.7 24.6  8.41       < 6.06  207  1.1 MESSIER081       1.4  1.88
LV J1030+0607      10 30 44.3 +06 07 38  1.61 62   7 0.00 -12.8 24.6  7.36  6.94   7.16  458 -1.3 NGC3623         -0.7
AGC205156          10 30 52.9 +12 26 48  0.49 20   7 0.00 -11.6 23.2  6.90  6.48   6.86  762  0.3 NGC3368          0.7  1.96
AGC731457          10 31 55.8 +28 01 33  1.03 58  15 0.00 -13.1 23.2  7.51  7.44   7.09  380 -1.3 NGC2903         -0.8
NGC3274            10 32 17.1 +27 40 07  5.53 63  79 0.25 -16.7 23.4  8.83  9.60   8.76  465 -1.2 NGC3344         -0.7
BK6N               10 34 31.9 +66 00 42  1.23 66     0.00 -11.1 25.7  7.38                    1.2 MESSIER081       1.4  1.88
UMa I              10 34 52.8 +51 55 12  0.50 90     0.00  -4.8 30.0  4.87       < 3.80    0  2.5 Milky Way        2.6  1.74
AGC202248          10 34 56.1 +11 29 32  1.13 48  36 0.00 -12.7 23.9  7.32  8.23   7.18 1020  0.7 NGC3368          1.0  2.13
ESO501-023         10 35 23.2 -24 45 15  7.41 38  44 0.01 -16.3 24.4  8.88  9.22   8.53  756 -1.1 NGC3621         -0.9
LeG03              10 35 48.8 +08 28 47  2.79 79  31 0.00 -12.9 25.6  7.51  8.49   7.69  987  0.2 NGC3368          0.6  1.82
KUG 1033+366B      10 36 17.6 +36 25 31  1.40 69     0.00 -12.6 24.4  7.30               592 -0.9 DDO084          -0.6 -0.59
NGC3299            10 36 23.8 +12 42 27  7.35 40  76 0.08 -17.0 23.7  8.96  9.69   8.07  453  0.8 NGC3368          1.1  2.13
DDO083             10 36 43.3 +31 32 48  6.36 90  46 0.07 -14.9 25.4  8.03  9.20   8.56  527 -1.4 NGC3184         -0.9 -1.52
AGC205165          10 37 04.8 +15 20 15  2.24 48   8 0.00 -13.9 24.2  7.79  7.23   6.87  586  0.2 NGC3368          0.7  1.96
AGC200499          10 38 08.0 +10 22 51  2.62 44 113 0.13 -15.9 22.5  8.73  9.59   8.29 1013  0.9 NGC3368          1.1  2.13
AGC208397          10 38 58.1 +03 52 27  1.32 62  12 0.00 -12.6 24.4  7.28  7.37   7.83  573 -3.0 NGC4321         -2.3
UGC05797           10 39 25.2 +01 43 07  2.57 33  36 0.00 -15.1 23.3  8.28  8.59   7.65  511 -1.5 NGC3115         -1.0 -2.25
LeG04              10 39 40.2 +12 44 06  1.58 72     0.00 -11.5 25.8  6.85       < 6.93       1.9 LeG05            2.0  2.13
LeG05              10 39 43.3 +12 38 04  1.82 69   3 0.00 -13.4 24.2  7.62  6.18   6.31  629  1.3 NGC3368          1.7  2.13
LeG06              10 39 55.7 +13 54 28  1.94 57   3 0.00 -11.9 25.8  7.03  6.30   6.85  863  0.8 NGC3368          1.1  2.13
AGC208399          10 40 10.7 +04 54 32  0.99 32   5 0.00 -11.7 24.6  6.94  6.42   8.04  561 -2.3 UGC05923        -1.8
UGC05812           10 40 56.6 +12 28 19  4.41 68  26 0.00 -14.7 24.9  8.23  8.53   7.60  857  1.5 NGC3368          1.7  2.13
[CKT2009]d1041+70  10 41 16.8 +70 09 03  0.41 62     0.00  -8.7 25.7  5.71       < 5.28       1.2 MESSIER081       1.4  1.88
FS04               10 42 00.3 +12 20 06  3.00 64  14 0.00 -14.5 24.2  8.15  7.86   7.46  621  1.8 NGC3368          2.0  2.13
LeG09              10 42 34.6 +12 09 02  2.19 39     0.00 -11.7 26.3  7.63       < 7.09       2.0 NGC3368          2.1  2.13
DDO084             10 42 41.9 +34 26 56 10.64 43  47 0.03 -15.9 25.5  8.67  9.44   8.79  592 -1.5 NGC4258         -0.9 -1.95
AGC205268          10 42 52.4 +13 44 28  1.15 64  34 0.00 -12.8 23.8  7.38  8.18   8.03 1001
ESO376-016         10 43 27.1 -37 02 33  1.47 66  17 0.00 -14.0 23.2  7.84  7.71   8.06  366 -0.7 NGC3621         -0.6 -1.13
NGC3344            10 43 30.2 +24 55 25 15.51 27 153 0.07 -18.9 23.3 10.02 10.63   9.13  500 -1.6 NGC2903         -1.0 -1.46
LeG10              10 43 55.4 +12 08 07  0.49 20     0.00 -11.0 23.8  6.65       < 7.09       2.4 NGC3368          2.5  2.13
